"filename", "language", "JavaScript", "XML", "JSON", "Java", "HTML", "Batch", "Java Properties", "comment", "blank", "total"
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\repositories\RegionRepository.java", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 6, 13
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\repositories\RoleRepository.java", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 5, 12
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\repositories\UserRepository.java", "Java", 0, 0, 0, 8, 0, 0, 0, 0, 5, 13
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\repositories\VillageRepository.java", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 5, 12
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\repositories\VilleRepository.java", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 5, 12
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\CelluleService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 11, 21
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\CelluleServiceImpl.java", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 18, 55
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\CommissionService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 10, 20
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\CommissionServiceImpl.java", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 17, 54
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\CommuneArrondService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 10, 20
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\CommuneArrondServiceImpl.java", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 16, 53
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\CommuneService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 10, 20
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\CommuneServiceImpl.java", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 18, 55
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\service\CommunicationService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 9, 19
